date,TEU-ENG,TEU-USA,TEU-WGT,TEU-SCA,TMU-ENG,TMU-USA,TMU-WGT,TMU-SCA
2011-06-01 00:00:00,34.9773137427116,39.4429669178855,30.3487282592765,104.105534334263,41.8145879111345,65.62082439314,57.7048970709919,166.454923500092
2011-06-02 00:00:00,73.563816713542,91.0055089273154,78.2424053429622,201.50962236646,67.6028784109683,63.1219222330919,52.4204944861417,132.309088833465
2011-06-03 00:00:00,43.8980073171457,71.3437457504746,58.3189903535825,164.992416549396,47.1301415878771,65.9566858558722,56.6999729062033,145.117299314577
2011-06-04 00:00:00,70.4360147608324,129.990483573239,105.572417742378,321.743321838272,39.6389141009901,27.3404888938595,27.0909638925973,65.024719793455
2011-06-05 00:00:00,114.788233815509,214.36884771213,176.40593978579,436.80502596763,32.9313583021404,69.6830659031916,61.2666933553157,134.68957477083
2011-06-06 00:00:00,55.7222940611956,82.9040786061695,67.4272759110048,187.926085773463,24.2508824608176,34.7874235540993,29.6485258042149,74.9344631080522
2011-06-07 00:00:00,194.508766127119,229.634709503463,182.802970165542,599.49546342568,62.6115602383648,84.1920664589425,76.7563912851384,210.211821853075
2011-06-08 00:00:00,59.1283160888696,94.6631206029251,79.5942944998828,246.067626608259,47.0414114000264,60.5730686705908,54.7118917773907,151.322657727357
2011-06-09 00:00:00,63.1783367069243,77.6223458497691,68.2000643022211,206.251025245671,29.9603665684973,37.8731533398552,31.452296691685,95.2625439600946
2011-06-10 00:00:00,87.7960146342913,99.2608636528343,85.6373794387903,202.226730014995,50.7555370946369,45.8829118997372,39.8714615048692,88.9331689381256
2011-06-11 00:00:00,72.3396908354495,129.990483573239,118.099606125156,296.99383554302,41.6208598060396,47.8458555642541,55.0800616991438,105.039931974043
2011-06-12 00:00:00,71.0593828381719,100.879457746885,98.1770254013424,303.864365890525,39.8642758394331,38.0089450381045,31.7308027634109,108.603451593871
2011-06-13 00:00:00,79.7405242599869,162.847297262119,145.244493022603,409.515270616837,77.6028238746163,101.68631500429,82.9331682365968,242.996612338371
2011-06-14 00:00:00,63.6411170277671,91.8538838013853,77.6571632505305,213.518932179009,24.081369322448,21.7269848926303,21.5308383652489,48.3032025468843
2011-06-15 00:00:00,31.6461410053105,39.4429669178855,32.3719768098949,96.6694247389589,55.2549911682849,63.0969465318654,51.6941298720615,148.620467410797
2011-06-16 00:00:00,53.6583133675247,53.5326523101856,50.8798681743872,128.412994645293,161.325050753447,169.166751584686,141.713486164606,384.137387913159
2011-06-17 00:00:00,55.1277301192062,65.1399417721725,61.1418722975463,157.010542141924,92.4475854223744,100.368869780675,85.5488495942046,230.161546371557
2011-06-18 00:00:00,26.6514650446393,55.710207245674,48.1860792938647,113.334242526201,27.7472398706931,41.0107333407893,38.9082748905984,80.1674627590542
2011-06-19 00:00:00,29.1525673182244,50.4397288734423,40.8052348837126,120.497938197967,41.5975052237563,44.3437692111219,37.019269890646,100.48940061272
2011-06-20 00:00:00,44.1935435657759,38.4911793528644,30.7847581245326,91.1007233029968,74.3693728798406,93.6584480302674,84.0066139099021,210.647218126142
2011-06-21 00:00:00,61.8484095058581,106.206053145352,99.4249853791472,217.13653456909,31.3057801191824,40.7380966736818,33.6947145546406,79.6566367301782
2011-06-22 00:00:00,77.4497661445757,97.2926517307841,80.434018518751,238.451247689432,57.49505837781,78.2402136995131,67.7294163392641,184.289379589388
2011-06-23 00:00:00,51.0619433658703,69.5924480032412,60.9602035616421,152.145016440499,50.7021588082262,73.2214297903866,64.1311543251161,151.535776679138
2011-06-24 00:00:00,56.1486140103026,68.2418437613236,66.559046496317,142.421873882512,50.7555370946369,71.6920498433394,62.9144116084043,142.347297843036
2011-06-25 00:00:00,39.9771975669589,55.710207245674,45.2453218895904,133.441930716334,27.7472398706931,47.8458555642541,41.3605884930037,110.122509327626
2011-06-26 00:00:00,41.9068155199475,75.6595933101634,70.9342421569874,174.722010387052,34.6645876864636,31.6741208650871,26.4423356361757,69.3855385183064
2011-06-27 00:00:00,53.8008356452924,76.9823587057288,60.2439381257787,160.905173626072,37.9930491886142,48.1672018441375,41.4665841182984,95.6705732788119
2011-06-28 00:00:00,54.6775794182224,91.8538838013853,76.3956712319782,219.533549986869,38.5301909159168,38.022223562103,32.7624098834624,86.91174824457
2011-06-29 00:00:00,37.4756932957625,47.3315603014625,39.6252469935004,101.502895975907,22.4006720952506,20.1910228901969,17.7516866583623,41.6137308750231
2011-06-30 00:00:00,51.9274000330885,66.9158153877319,56.359974477405,186.405959968974,21.5100067671263,45.4477840078262,38.9693169717681,119.846426272377
2011-07-01 00:00:00,72.4827562678452,93.0570596745321,72.3862283603724,206.822792060791,36.2539550675978,25.8091379436022,24.4492426910692,54.5726263938498
2011-07-02 00:00:00,47.5919018654273,80.4702993548624,65.3543538405195,243.887066116474,11.891674230297,13.6702444469298,11.8173109980011,39.8110529347684
2011-07-03 00:00:00,36.4407091477805,69.3546272009831,59.0908894951161,141.319273107174,36.3978170707868,31.6741208650871,26.4423356361757,61.2225339867409
2011-07-04 00:00:00,37.4684391101143,41.4520393030848,31.7252707705728,98.1084712493812,20.209068717348,16.0557339480458,13.0947107741995,36.1109516787673
2011-07-05 00:00:00,25.9942590676795,28.7043386879329,23.5483065633654,70.5927629033862,40.1356155374134,51.601589119997,44.9262860728541,121.370546979218
2011-07-06 00:00:00,66.6234547480221,92.033589475066,97.0076594123796,183.596969465465,47.0414114000264,53.001435086767,44.6326341918343,101.614924229708
2011-07-07 00:00:00,49.331030031434,69.5924480032412,66.4403098646599,108.283390079274,26.8875084589078,42.9229071185025,38.0990581340686,63.2222889344772
2011-07-08 00:00:00,143.944628644594,263.661669077841,252.796763713189,564.022989182448,92.4475854223744,111.839597755609,98.975507468406,227.613329251015
2011-07-09 00:00:00,72.3396908354495,92.8503454094566,91.1405828587955,208.924234959917,43.6028055110891,34.1756111173244,29.5432774950027,73.8917270380171
2011-07-10 00:00:00,47.3729218921146,81.9645594193437,71.409161046497,214.281710852045,69.3291753729272,107.692010941296,92.9974961187266,267.068865240274
2011-07-11 00:00:00,64.3688569327605,136.199557710136,125.790188744703,327.167695168512,99.4286180893521,112.390137636321,95.1220796752124,256.54944774766
2011-07-12 00:00:00,67.2265320715849,80.3721483262121,66.5336913621034,148.244802097111,59.4007109953718,89.6238126821,74.1283720202093,158.101107249245
2011-07-13 00:00:00,79.9481456976266,134.106087520811,111.126547290909,242.182348293392,36.5877644222427,50.4775572254923,41.3553038976492,87.6078544737328
2011-07-14 00:00:00,73.563816713542,66.9158153877319,57.6000917658905,165.102421686806,33.0332246780868,45.4477840078262,37.742756030022,106.149691841248
2011-07-15 00:00:00,91.879550198677,114.77037359859,92.0992302550897,211.196464007596,125.076144983212,154.854827661613,129.819945096006,271.102724666222
2011-07-16 00:00:00,91.3764515816204,117.610437518645,105.572417742378,317.564837139074,61.4403168565347,82.0214666815785,70.9038659880064,212.808173869489
2011-07-17 00:00:00,61.9492055512268,107.184423856065,89.6948156579006,232.052670045303,51.9968815296954,38.0089450381045,34.82435771914,78.0587308330946
2011-07-18 00:00:00,72.0546905963737,124.356117909254,105.950818989557,294.325413748144,176.223079215275,251.539831852718,211.533731096372,565.738242967354
2011-07-19 00:00:00,67.2265320715849,74.6312805886255,62.6694737705288,186.240318600992,51.3735878878891,65.1809546778909,57.971430500602,155.564725849524
2011-07-20 00:00:00,69.9546274854232,81.5154649636299,76.7313219303961,202.678890515498,73.1755288444854,70.6685801156893,60.3165556553141,168.867313695746
2011-07-21 00:00:00,71.8329033791057,85.6522436962969,78.8000368385518,150.950785542222,79.1260963219288,88.3706911263287,75.8418141640906,147.430127557289
2011-07-22 00:00:00,74.524524050038,96.1589616636832,82.4477331403733,245.614927686123,51.6618859713269,54.4859578809379,52.3003389092712,132.404232859374
2011-07-23 00:00:00,55.2066061638956,80.4702993548624,82.9088002110305,209.657302451004,37.6569683959406,61.5161000111839,53.1778994910048,154.005915300288
2011-07-24 00:00:00,122.076375645065,214.36884771213,208.4656040207,464.105340090607,117.859598133976,158.370604325435,132.211678180879,325.244711804561
2011-07-25 00:00:00,99.9158376269715,148.042997511017,139.024733070814,410.79901754667,115.595873063231,128.445871584367,115.134998961044,338.695822642231
2011-07-26 00:00:00,110.251512597399,155.003428914838,142.781115205402,316.901969371105,144.488215934688,171.100006029464,154.113627418516,334.557874266748
2011-07-27 00:00:00,147.404393629999,231.398739251595,201.795965133771,409.26711779518,88.8559993111609,138.813282370104,131.951915701044,235.954144136729
2011-07-28 00:00:00,126.356673413849,248.926833242363,249.240727583312,537.408382590552,137.510400404129,207.039904924542,190.814013763215,423.12446608942
2011-07-29 00:00:00,212.343849348054,381.533944665582,359.584958569455,1053.12831376761,202.115799501858,295.371245354558,258.826780029465,775.655017795023
2011-07-30 00:00:00,87.5690994323862,167.130621737022,169.490210079054,349.580269200537,51.5305883312871,95.6917111285083,86.1775188826027,192.326636008811
